Adresa,LocSort
G013609204,3105900
G013609205,3105900
G013609206,3105900
G013609207,3105900
G013609208,3105900
G013609209,3105700
G013609210,3105700
G013609211,3105700
G013609212,3105700
G013609213,3105700
G013609214,3105700
G013609215,3105700
G013609216,3105700
G013609217,3105500
G013609218,3105500
G013609219,3105500
G013609220,3105500
G013609221,3105500
G013609222,3105500
G013609223,3105500
G013609224,3105500
G013609225,3105300
G013609226,3105300
G013609227,3105300
G013609228,3105300
G013609229,3105300
G013609230,3105300
G013609231,3105300
G013609232,3105300
G013609233,3105100
G013609234,3105100
G013609235,3105100
G013609236,3105100
G013609237,3105100
G013609238,3105100
G013609239,3105100
G013700200,3103600
G013700201,3103800
G013700202,3103800
G013700203,3103800
G013700204,3103800
G013700205,3103800
G013700206,3103800
G013700207,3103800
G013700208,3103800
G013700209,3104000
G013700210,3104000
G013700211,3104000
G013700212,3104000
G013700213,3104000
G013700214,3104000
G013700215,3104000
G013700216,3104000
G013700217,3104200
G013700218,3104200
G013700219,3104200
G013700220,3104200
G013700221,3104200
G013700222,3104200
G013700223,3104200
G013700224,3104200
G013700225,3104400
G013700226,3104400
G013700227,3104400
G013700228,3104400
G013700229,3104400
G013700230,3104400
G013700231,3104400
G013700232,3104400
G013700233,3104600
G013700234,3104600
G013700235,3104600
G013700236,3104600
G013700237,3104600
G013700238,3104600
G013700239,3104600
G013701200,3103600
G013701201,3103800
G013701202,3103800
G013701203,3103800
G013701204,3103800
G013701205,3103800
G013701206,3103800
G013701207,3103800
G013701208,3103800
G013701209,3104000
G013701210,3104000
G013701211,3104000
G013701212,3104000
G013701213,3104000
G013701214,3104000
G013701215,3104000
G013701216,3104000
G013701217,3104200
G013701218,3104200
G013701219,3104200
G013701220,3104200
G013701221,3104200
G013701222,3104200
G013701223,3104200
G013701224,3104200
G013701225,3104400
G013701226,3104400
G013701227,3104400
G013701228,3104400
G013701229,3104400
G013701230,3104400
G013701231,3104400
G013701232,3104400
G013701233,3104600
G013701234,3104600
G013701235,3104600
G013701236,3104600
G013701237,3104600
G013701238,3104600
G013701239,3104600
G013702200,3103600
G013702201,3103800
G013702202,3103800
G013702203,3103800
G013702204,3103800
G013702205,3103800
G013702206,3103800
G013702207,3103800
G013702208,3103800
G013702209,3104000
G013702210,3104000
G013702211,3104000
G013702212,3104000
G013702213,3104000
G013702214,3104000
G013702215,3104000
G013702216,3104000
G013702217,3104200
G013702218,3104200
G013702219,3104200
G013702220,3104200
G013702221,3104200
G013702222,3104200
G013702223,3104200
G013702224,3104200
G013702225,3104400
G013702226,3104400
G013702227,3104400
G013702228,3104400
G013702229,3104400
G013702230,3104400
G013702231,3104400
G013702232,3104400
G013702233,3104600
G013702234,3104600
G013702235,3104600
G013702236,3104600
G013702237,3104600
G013702238,3104600
G013702239,3104600
G013703200,3103600
G013703201,3103800
G013703202,3103800
G013703203,3103800
G013703204,3103800
G013703205,3103800
G013703206,3103800
G013703207,3103800
G013703208,3103800
G013703209,3104000
G013703210,3104000
G013703211,3104000
G013703212,3104000
G013703213,3104000
G013703214,3104000
G013703215,3104000
G013703216,3104000
G013703217,3104200
G013703218,3104200
G013703219,3104200
G013703220,3104200
G013703221,3104200
G013703222,3104200
G013703223,3104200
G013703224,3104200
G013703225,3104400
G013703226,3104400
G013703227,3104400
G013703228,3104400
G013703229,3104400
G013703230,3104400
G013703231,3104400
G013703232,3104400
G013703233,3104600
G013703234,3104600
G013703235,3104600
G013703236,3104600
G013703237,3104600
G013703238,3104600
G013703239,3104600
G013704200,3103600
G013704201,3103800
G013704202,3103800
G013704203,3103800
G013704204,3103800
G013704205,3103800
G013704206,3103800
G013704207,3103800
G013704208,3103800
G013704209,3104000
G013704210,3104000
G013704211,3104000
G013704212,3104000
G013704213,3104000
G013704214,3104000
G013704215,3104000
G013704216,3104000
G013704217,3104200
G013704218,3104200
G013704219,3104200
G013704220,3104200
G013704221,3104200
G013704222,3104200
G013704223,3104200
G013704224,3104200
G013704225,3104400
G013704226,3104400
G013704227,3104400
G013704228,3104400
G013704229,3104400
G013704230,3104400
G013704231,3104400
G013704232,3104400
G013704233,3104600
G013704234,3104600
G013704235,3104600
G013704236,3104600
G013704237,3104600
G013704238,3104600
G013704239,3104600
G013705200,3103600
G013705201,3103800
G013705202,3103800
G013705203,3103800
G013705204,3103800
