Product,Unit,PackageType,ContentQty,X,Y,Z,Weight
123544,Unit,BA,1,16.6,7.2,18.8,0.98
123545,Unit,BA,1,18.3,7.3,17.6,1.182
123545,Car,BA,10,43,21.2,39.6,12.788
123546,Car,BA,5,52.1,33.7,37.8,15.78
123546,Unit,BA,1,34.6,9.5,38.6,3.03
123547,Unit,BA,1,42.7,41.3,27.1,13.768
123547,Car,BA,2,47,43,43,28.12
123829,Unit,BA,1,20,10,10,1
124322,Unit,BA,1,8.9,4.9,9.1,0.164
124322,Car,BA,100,47,27,37,17.45
124411,Car,BA,20,47,30,31,11.95
124411,Unit,BA,1,19.4,6.3,18.8,0.528
124456,Unit,BA,1,29,3,12,0.53
124458,Car,BA,15,46,30,25,12.5
124458,Unit,BA,1,23.5,8.4,19.7,0.684
124460,Unit,BA,1,30,3,22,1
124572,Pal,BA,45,107,118,117,462.19
124572,Unit,BA,1,36.8,35.5,23.2,9.838
124780,Unit,BA,1,30.1,8,24.1,1.236
124780,Car,BA,6,46,33,24,7.81
124786,Unit,BA,1,15.3,3.5,9.8,0.062
124787,Unit,BA,1,16,2.4,9.6,0.09
124848,Unit,BA,1,49.6,2,5.5,0.28
124849,Unit,BA,1,12.8,2.6,8.5,0.01
124849,Car,BA,100,25.3,12.6,15.3,0.57
124850,Unit,BA,1,6.6,2.5,11.1,0.008
124851,Unit,BA,1,9.7,2.2,12.7,0.006
124852,Unit,BA,1,9.5,2.2,11.7,0.01
124943,Car,BA,200,39.5,27.5,28.5,4.54
124943,Unit,BA,1,13.7,2.6,16.8,0.01
124955,Unit,BA,1,18.4,5.4,22.4,0.284
124955,Car,BA,40,47,30,31,12.1
124959,Unit,BA,1,17.6,2.7,23.8,0.018
124960,Unit,BA,1,16.2,2.6,14.1,0.028
124961,Unit,BA,1,14,3.5,14.2,0.046
124965,Unit,BA,1,15,4,16,0.2
124966,Unit,BA,1,15,5,15,0.282
124966,Car,BA,100,46,21,30,8
124996,Car,BA,4,59,12,16,3.93
124996,Unit,BA,1,14,10,14,0.89
124997,Car,BA,4,59,12,15,4
124997,Unit,BA,1,13,10,13,0.5
125064,Car,BA,8,37,45,33,12.18
125064,Unit,BA,1,43.3,7.5,17.1,1.292
125068,Unit,BA,1,22,11,17,0.83
125068,Car,BA,12,50,37,39,11.76
125072,Car,BA,8,52.9,30.5,18.5,4.802
125072,Unit,BA,1,15.6,6.5,24.9,0.528
125272,Unit,BA,1,10,3,8,0.139
125365,Unit,BA,1,12,3,14,0.05
125365,Car,BA,8,26,15,12,0.42
125366,Car,BA,8,26,15,12,0.42
125366,Unit,BA,1,11,3,14,0.04
125367,Unit,BA,1,14,3,11,0.04
125367,Car,BA,8,26,15,12,0.5
125368,Unit,BA,1,14.1,3.2,11.1,0.048
125368,Car,BA,8,27.5,14.8,12.2,0.426
125370,Car,BA,8,26,14.5,11.5,0.424
125370,Unit,BA,1,12,12,3,0.045
125427,Unit,BA,1,9,5,8.9,0.164
125428,Unit,BA,1,5.1,3.3,9.9,0.018
125428,Car,BA,50,18,10.3,30.1,0.998
125448,Unit,BA,1,52.5,6,10.4,0.868
125454,Car,BA,2,59.5,37.8,41.2,19.754
125454,Unit,BA,1,47.7,35.6,32.5,9.462
126001,Car,BA,2,46,40,41,20.22
126001,Unit,KO,1,41.1,39.8,25.3,9.868
126010,Unit,BA,1,12.2,4,16.9,0.238
126186,Car,BA,6,22,33,50,10.6
126186,Unit,BA,1,55,10.1,10.6,1.584
126264,Car,BA,10,53,26.5,28.5,12.11
126264,Unit,BA,1,51,16,5,1.19
126323,Unit,BA,1,6,4,6,0.1
126403,Unit,BA,1,9.2,2.5,23.9,0.042
126403,Car,BA,30,23,12,19,1.42
126531,Unit,BA,1,7.6,5.2,9.9,0.038
126531,Car,BA,25,19.8,12.3,24,1.068
126546,Unit,BA,1,16,1.2,16,0.028
126985,Unit,BA,1,43,20.6,12.5,1.5
126985,Pal,BA,85,109,116,78,143
126986,Unit,BA,1,12.5,20.5,43,1.5
126987,Unit,BA,1,43.1,20.7,12.3,1.498
127190,Unit,BA,1,30,5,5,0.3
127191,Unit,BA,1,27,5.9,8.9,0.362
127371,Car,BA,10,62,18,45,25.5
127371,Unit,BA,1,61,2,44,2.42
127404,Unit,BA,1,17.3,2.5,16.3,0.018
127405,Unit,BA,1,15.8,3.6,11.2,0.028
127405,Car,BA,250,46,30.5,30,8.552
127406,Unit,BA,1,15.8,2.6,18.2,0.05
127406,Car,BA,100,46,25,30,6.2
127407,Car,BA,100,50.1,37.7,32.5,7.838
127407,Unit,BA,1,19.8,3.4,15.8,0.068
127408,Unit,BA,1,16.5,4.8,14.7,0.112
127408,Car,BA,70,46,30,30,8.86
127409,Unit,BA,1,25.8,4.4,20.7,0.146
127409,Car,BA,60,46,30,30,10.3
127410,Car,BA,40,46,30,30,9.5
127410,Unit,BA,1,15.2,5,16.2,0.216
